Street Adress, Distric, City, House Price, House Area, Rooms, Type, Year
Myllärinrinne 1 A, Klaukkala, Nurmijärvi, 129 000 €, 68 m², 3h,k,khh,kph,vh,parveke, Kerrostalo, 1971
Messeniuksenkatu 3 a, Töölö, Helsinki, 239 000 €, 32,5 m², 2h+kk, Kerrostalo, 1936
Oratie 4 A, Tarvasmäki, Hämeenlinna, 169 000 €, 75 m², 3H+K+PSH/KHH+WC, Paritalo, 2018
Hagelstamintie 20 C, Pakkala, Vantaa, 285 000 €, 76 m², 3h+k+kph+s+wc+p, Kerrostalo, 2003
Isokatu 87 C, Heinäpää, Oulu, 187 900 €, 42 m², 2h+kt, Kerrostalo, 2019
Koulutie 7 C, Kirkonkylä, Heinola, 24 000 €, 54,5 m², 2h, k, kph/wc, vh, p, Kerrostalo, 1975
Isokaari 7, Lauttasaari, Helsinki, 328 000 €, 50 m², 1-2h, k, p, Kerrostalo, 1945
Ilkantie 5, Kankaantaka, Nokia, 89 500 €, 55 m², 2h, k, kph, vh +parv., Kerrostalo, 1963
Karsillantie 43 as., Klaukkala, Nurmijärvi, 158 000 €, 84,5 m², 3h, k, kph, s, 2x wc, Rivitalo, 1984
Klariksentie 4 D87, Henttaa, Espoo, 169 150 €, 31,5 m², 2h + kt + avoparveke, Kerrostalo, 2018
Klariksentie 4 D 83, Henttaa, Espoo, 210 152 €, 44,5 m², 2h + kt + s + lasitettu parveke, Kerrostalo, 2018
Klariksentie 4 D78, Henttaa, Espoo, 222 782 €, 50,5 m², 2h + kt + s + lasitettu parveke, Kerrostalo, 2018
Klariksentie 4 D 75, Henttaa, Espoo, 201 123 €, 43 m², 2h + kt + s + lasitettu terassi ja piha, Kerrostalo, 2018
Klariksentie 4 D 74, Henttaa, Espoo, 207 311 €, 43 m², 2h + kt + s + lasitettu terassi ja piha, Kerrostalo, 2018
Sammonojantie 4 A, Sampo, Hämeenlinna, 167 680 €, 65,5 m², 3h,avok,kph, Rivitalo, 2020
Nestvedinkatu 3 C, Pyynpää, Rauma, 107 000 €, 68 m², 2h+k+s, Rivitalo, 1978
Keinutie 12 A, Kontula, Helsinki, 333 500 €, 81,5 m², 4h+kt+s, Kerrostalo, 2020
Kraatarinkatu 18, Venka, Naantali, 259 500 €, 68 m², 3h,k,kph,sauna,las.parv,terassi+ak+harraste/tekn, Rivitalo, 2018
Välikatu 4, Parkkarila, Lappeenranta, 319 000 €, 134 m², 5h+k+s+khh, Omakotitalo, 2012
Aunenkatu 2, Möysä, Lahti, 173 800 €, 78 m², k, oh, 2mh, s, ph, wc, vh, kuisti, Rivitalo, 1997
Nelikkokuja 4, Matinkylä, Espoo, 418 000 €, 81 m², 3h, k, kph, s, wc, lasitettu parveke, Kerrostalo, 2002
Pormestarinkatu 4, Lauste, Turku, Tarjouskauppa:, 48 000 €, 2h+k, Kerrostalo, 1973
Kolmikallionrinne 2-4, Pähkinärinne, Vantaa, 294 000 €, 86,5 m², 3h + avok + s + p, Paritalo, Paritalo
Seljantie 32 B, Pietniemi, Pori, 186 000 €, 90 m², 4h+k+sauna, Rivitalo, 2005
